sentence,sector,company,manual_label
"ITC engages with its supply chain partners → Latest regulatory changes including NGRBC During FY 2023-24, 40% of Critical Tier- periodically to build awareness of the Supplier's principles; SEBI’s BRSR Core for Value 1 suppliers have been assessed by a third ITC’s Policy on ‘Sustainable Supply Chain and Code of Conduct.",FMCG,ITC,Concrete
"In FY 2023-24, 38 offices have undergone ISO 45001:2018 audits by TUV India Pvt Ltd for occupational health and safety.",IT,TCS,Concrete
"Tata Steel has a long, requirements, which are aligned with uses a carbon-adjusted internal cost of unbroken record of annual disclosure its growth ambitions and address ALM capital of US$ 40 per tonne of CO for to the Climate Disclosure Project (Asset and Liability Management) risks.",Manufacturing,TataSteel,Concrete
"2 Managing GHG Emissions Managing Scope 1 and 2 emissions requires investment in energy efficiency, adoption of renewable energy, and building green 50% 50% infrastructure with low energy and emissions attributes.",FMCG,ITC,Concrete
Relevant emission factors are taken from DEFRA 2023.,IT,TCS,Concrete
"Advancing sustainable By embedding climate action and packaging Infosys has launched a comprehensive • circular-economy practices, and sustainable packaging into procurement, Infosys has shifted sourcing from a initiative to embed sustainability into • enhanced indoor environmental transactional activity to a strategic lever the specification and procurement of quality, construction and IT materials across all for ESG transformation.",IT,Infosys,Concrete
"The analysis showed that the charcoal-free Agarbattis had a 10% lower carbon footprint compared to the regular Agarbattis, due to the substitution of emission-intensive ingredient (pre-processed charcoal) with sawdust.",FMCG,ITC,Concrete
Tata Steel also commissioned a floating solar power project with a capacity of 10.8 Energy efficiency and adoption of MWp (Megawatt peak) on its upper cooling pond in the plant bringing the total renewable energy is also a key lever for capacity to 20.34 MWp solar projects in the Jamshedpur plant.,Manufacturing,TataSteel,Concrete
"Social, and Governance (ESG) principles For management talent, Infosys engages into its hiring practices, reflecting its MBA graduates through programs such as Retirement Planning spans a 79% commitment to building a responsible Ingenious, a case-based competition that portfolio of services including and inclusive workforce.",IT,Infosys,Concrete
"To educate and inspire young minds, students from schools and colleges are invited to visit ICMLs, with employees acting as ambassadors to build a workforce pipeline for future requirements. to 2.0 152 & Growth Social - Social Stewardship Workforce for Tomorrow Inclusion of the Specially Abled Apart from gender, employment of the differently abled is a priority area in ITC’s diversity agenda.",FMCG,ITC,Concrete
The Purchased Company is focusing on O thers Fossil 5% Renewable Energy 1% thereby increasing the share of renewable energy enhancing its understanding → Accelerated adoption of biomass boilers of value chain emissions and across the Foods Business identifying appropriate levers → Augmentation of renewable electricity assets with the commissioning of two offsite for facilitating the Net Zero solar power plants of capacity 13.5 MWp in transition.,FMCG,ITC,Concrete
"Felt Leadership 2.0 to develop the safety leadership competency of associated companies, union leadership, and vendor partners.",Manufacturing,TataSteel,Concrete
Lowest ever specific water consumption of 1.62 m3/tcs 11.,Manufacturing,TataSteel,Concrete
Caring and empowering work environment Workers recognises of Management and its plan/weekly/ 2.,Manufacturing,TataSteel,Concrete
"100 16,225.00 16,225.00 (d) Eastern Synpacks Limited (Face value of ₹25 each) 1,50,000 1.00 1.00 (e) Ferro Manganese Plant Employees’ Consumer Co-operative Society Ltd.",Manufacturing,TataSteel,Concrete
"Turnover of FY2023-24 increased over FY2022-23 Safety and Sustainability significantly by H3,860 crore primarily due to higher » NINL has submitted application for EC for its expansion deliveries of pig iron and steel owing to full year of from 0.981 MTPA to 9.5 MTPA. operations during the year.",Manufacturing,TataSteel,Concrete
"We are in our ninth year of partnership with the in the digital era, reflecting our commitment to where young leaders apply their skills in real-world Australian Disability Network (ADN) and have sustainable growth and societal impact.",IT,Infosys,Concrete
Sustainable Procurement – focused on Vendor satisfaction surveys strengthening collaboration with our (VenSat) 29.10% supplier ecosystem.,IT,Infosys,Concrete
47 | External Document © 2025 Infosys Limited INSIGHT TO IMPACT ENVIRONMENT SOCIAL GOVERNANCE GERMANY MädchenbüroMilena e.V. geography lessons.,IT,Infosys,Concrete
"How we do it What we achieved W e have developed a proprietary ESG scoring O ur ‘Sustainable Equity Fund’ continued to gain methodology based on key ESG parameters and traction among conscious investors, growing by have also subscribed to an external ESG rating over 30% in FY 2024-25 provider, which provides us ESG scores for top W e engaged with 38 investee companies during 250 listed companies in our active listed equity the year, with a focus on improving ESG integration universe.",Banking,HDFC,Concrete
Assessments for the year: % of your plants and offices that were assessed (by entity or statutory authorities or third parties) Child labour Forced/involuntary labour TCS internally monitors compliance with all relevant laws and policies pertaining to these Sexual harassment issues at 100% of its offices.,IT,TCS,Concrete
Employee benefits expense [Item No.,Manufacturing,TataSteel,Concrete
"Environmental, Social and Governance Report 2023-24 11 Profitable growth We added more than 80,000 agents (on gross basis) during FY 2023-24 as a part of our strategy to invest into building New business premium (individual and group) grew by a robust Proprietary franchise.",Banking,HDFC,Concrete
"117th Year Integrated Report & Annual Accounts 2023-24 352 Project title Benefits Tata Steel has commercialised a novel coking catalyst that reduces coke production time Reduction in carbonisation time in non-recovery significantly, leading to both cost savings and reduction in CO emissions per ton of coke.",Manufacturing,TataSteel,Concrete
ITC Dividend of ₹2.75 per Ordinary Share). among the foremost in the country in terms of remains amongst the Top 3 Indian corporates The Company is committed to enhancing gender the efficiency of servicing financial capital. in the private sector in terms of Contribution diversity and the participation of the differently to the Exchequer. abled in the workforce.,FMCG,ITC,Vague
"This assessment was undertaken in 2023 for 60+ ITC-owned assets, and as a result, For assessing other key risks like water stress Natured-related Dependencies and Impacts Relevance for ITC businesses all sites with any interface with eco-sensitive and climate change, desk-based portfolio-level zones were identified. screenings are carried out using the latest available data and tools.",FMCG,ITC,Concrete
68 | External Document © 2025 Infosys Limited INSIGHT TO IMPACT ENVIRONMENT SOCIAL GOVERNANCE Performance on Governance Goals Corporate Governance Data Privacy Information Management Data Privacy First India-headquartered Company Thought Leadership in Data Privacy to receive Binding Corporate We understand that staying ahead in a dynamic privacy landscape requires leadership and advocacy beyond the organization.,IT,Infosys,Concrete
"Besides wellbeing initiatives, as part of retirement, & leave driving retention we also provide upskilling initiatives such as Skill Up and WINNR. options Compensation practices are governed by a Board-approved policy, aligned with IRDAI (Expenses of Management) Regulations, 2024.  Difficult to attract / retain talent  Pay discrepancies Inclusion and belonging for everyone Inclusion at HDFC Life is embedded in our DNA.",Banking,HDFC,Concrete
"This data has been subject to independent assurance by KPMG 83 G RI 305-3, GRI 305-4; There are some inclusions and modifications in estimating scope 3 carbon emissions during FY 2024 when compared to FY 2023.",IT,TCS,Concrete
"Several mitigations have been put in capacities are coming up in India, supply-side pressures place for diversified sourcing with focus on indigenisation as will be felt, and a supply-demand imbalance may emerge one of the major levers to de-risk the supply chain for both in the current fiscal.",Manufacturing,TataSteel,Vague
"The interventions focus on universal Childhood Care and Education Partnerships access and retention, bridging gender and on child-friendly pedagogy, which helped social category gaps in elementary education, achieve scale and will enable sustenance of the and improving the quality of learning.",FMCG,ITC,Vague
"Employee benefits (Contd.) (ii) Fair value of plan assets by category of investment is as below: (%) As at As at March 31, 2024 March 31, 2023 Assets category (%) Equity instruments (quoted) 4.04% 2.09% Debt instruments (quoted) 40.69% 30.85% Insurance products (unquoted) 51.04% 61.72% Others 4.23% 5.34% 100.00% 100.00% The Company’s investment policy is driven by considerations of maximising returns while ensuring credit quality of debt instruments.",Manufacturing,TataSteel,Concrete
"Please indicate material responsible business conduct and sustainability issues pertaining to environmental and social matters that present a risk or an opportunity to your business, rationale for identifying the same, approach to adapt or mitigate the risk along-with its financial implications, as per the following format.",Manufacturing,TataSteel,Vague
"99% of women who 4,400+ members on IWIN – an We strive to build and sustain a workplace went on maternity employee resource group leave returned to work for women where every individual feels respected, empowered, and supported with the opportunity to thrive.",IT,Infosys,Concrete
"Mande was appointed as an Independent Director on the Board of the Company effective June 1, 2023 and as a Member of the Corporate Social Responsibility & Sustainability Committee effective June 13, 2023.",Manufacturing,TataSteel,Concrete
"This collaboration developed by Prof Robert S Kaplan and with Tata Power Renewable Energy allows Tata Steel to gain valuable Prof Karthik Ramanna, aims to help Limited to set up a captive solar power insights, best practices, and innovative companies tackle ESG reporting in a plant with 70 MW capacity in the state of ideas related to sustainable practices and more targeted and auditable way by Maharashtra.",Manufacturing,TataSteel,Concrete
"SightConnect team presenting a demo of the app 40 | External Document © 2025 Infosys Limited INSIGHT TO IMPACT ENVIRONMENT SOCIAL GOVERNANCE Nurturing Workplace Inclusivity At Infosys, we envision a future where diversity, equity, and inclusion power innovation, growth, and shared success 39% women in across the world.",IT,Infosys,Concrete
"Tata Steel has green steel plant in Ludhiana, Punjab. committed to be Net Zero by 2045 and a In the UK and the Netherlands, Tata Steel has taken concrete steps to transition to transition to low carbon steelmaking is critical green steelmaking. for the long-term success of the Company.",Manufacturing,TataSteel,Concrete
"Reduction in carbonisation Tata Steel has commercialised a novel coking catalyst that reduces The innovation has a potential to produce time in non-recovery coke coke production time significantly, leading to both cost savings and an additional 50,000 tonnes of coke making through use of novel reduction in CO emissions per tonnes of coke. annually, marking a significant step 2 catalyst towards sustainable steel production.",Manufacturing,TataSteel,Concrete
The carbon emission reduction achieved by these schemes equate to achieving a 59% ‘Tonnes of CO2e per FTE' reduction against the 2016 baseline.,IT,TCS,Concrete
"ITC differently abled in the workforce, and where is committed to enhancing gender diversity needed, will undertake supportive actions in and participation of the differently abled in the the spirit of equity at the workplace.",FMCG,ITC,Vague
"The web-links where Composition of CSR Committee, CSR Policy and CSR projects approved by the Board are disclosed on the website of the Company are provided below: The composition of the CSR&S Committee: https://www.tatasteel.com/corporate/our-organisation/leadership/ CSR Policy https://www.tatasteel.com/media/11804/tata-steel-csr-policy-latest-2019.pdf CSR Projects as approved by the Board https://www.tatasteel.com/corporate/our-organisation/csr/ 4.",Manufacturing,TataSteel,Concrete
TCS Emission reduction objectives include: • Reduce Green House Gas emissions by improving energy efficiency in our operations. • Reduce absolute Scope 1 and Scope 2 emissions by 90 percent by 2030 over a 2016 base year and achieve Net Zero status by 2045 or earlier. • Mitigate our impact on the environment across the project lifecycle through responsible sourcing practices and green building infrastructure. • Operate efficiently by leveraging IoT Remote Energy Management.,IT,TCS,Concrete
"A defining milestone of the summit was the launch of the BioConserve Platform, to build a conservation Since 2016, Infosys has actively pursued carbon reduction projects across As part of its long-term vision for sustainable water management, Infosys continues to drive that promote sustainable solutions, particularly in urban areas. network and continue knowledge sharing.",IT,Infosys,Concrete
"How we do it What we achieved W e have constituted the ‘Celebrate You’ W omen comprise 28.2% of our workforce, and programme which ingrains our DEI philosophy our gender ratio has improved by 10 percentage across policies, communication, leadership points over the past decade.",Banking,HDFC,Concrete
"During CrossRoads 2025, the Foundation unveiled its flagship Accessibility Living Lab, developed in collaboration with the Infosys Center for Emerging Technology Solutions (iCETS).",IT,Infosys,Concrete
"Upstream 40.5% Capital goods Leased Assets Business Travel Work from home Our sustainable procurement framework evaluates With remote work now prevalent, we have suppliers based on environmental performance, 20.5% implemented policies and training to reduce prioritizing durable, recyclable products.",IT,Infosys,Concrete
"ITC Foods Business made a game- changing move by launching the In response, ITC's Paperboards business Sunfeast Farmlite Core Digestive (800g collaborated with the box manufacturer Pack) in a 100% paper outer bag.",FMCG,ITC,Concrete
"Through of accessibility challenges, introduces users to Our journey of inclusion is rooted in education structured programs and ongoing support, we are assistive technology and facilitates the creation of and advocacy.",IT,Infosys,Vague
"India, with a focus on expanding energy access for rural communities. lake rejuvenation initiatives across India.",IT,Infosys,Vague
"Infosys ESG Report 2025-26 | 13 External Document © 2026 Infosys Limited From the CFO’s desk Dear stakeholder, The 20th-century French poet Paul Valéry to make steady, measurable progress once observed, “The trouble with our across all dimensions of responsibility. times is that the future is not what it used A defining milestone was our decision to be.” That sentiment has never felt more to take the bold step toward becoming relevant.",IT,Infosys,Concrete
"Strategic pillars affected GRI 2: General Disclosures 2021, GRI 201: Economic Performance, GRI 203: Indirect Economic Impacts SP4 Environmental, Social and Governance Report 2024-25 23 Information, Cyber Security and Data Privacy Risk R Risk O Opportunity R Safeguarding information assets is a top priority for HDFC Life, and our cybersecurity framework is built on globally benchmarked Capitals impacted standards, including ISO 27001 and IRDAI guidelines.",Banking,HDFC,Concrete
"The available in the present mix of the Directors of Taxation, Risk Management, Board, through the CSR and Sustainability the Company, are provided in the Company’s Legal, Secretarial, Internal Audit, Committee reviews, monitors and provides Report and Accounts 2024.",FMCG,ITC,Concrete
"The Foundation has achieved the following: • Reached more than 1.2 million Our employees continue to empower communities through collective action and purpose. students and 16,000 educators in During this period volunteering, the Foundation boosted fiscal 2026 • 1,837 volunteering events were held participation via InfyCares, a platform • Impacted over 27 million students that simplifies discovery, coordination, and 1.4 million educators, since its • 84,975 employees participated and engagement.",IT,Infosys,Concrete
"Mohalla Committees are formed Participatory Development through under the decentralised Waste Management Programme responsible for day-to-day operations, During FY 2023-24, impact assessments were Empowered Grassroots Institutions including user fee collection and payments to waste collectors.",FMCG,ITC,Concrete
"Executive Director & Chief Financial Officer Environmental, Social and Governance Report 2024-25 9 Driving Impact through SDG Alignment Through our core business operations and corporate social responsibility initiatives, we actively support India’s commitment to the United Nations Sustainable Development Goals (UN SDGs) and are dedicated to advancing the 2030 Agenda by aligning our efforts with these goals.",Banking,HDFC,Concrete
"Mental & Emotional Wellbeing Policy Launched this year, the HDFC Life Emotional & Mental Wellbeing Policy fosters a supportive workplace, promoting mental and emotional health for all employees and their Environmental, Social and Governance Report 2023-24 69 extinguishers and their proper Inculcating Respect & Trust Among Employees usage We foster trust and inspiration among our employees by prioritising open  Educate employees about communication.",Banking,HDFC,Concrete
"Infosys is a committed member of the WEF’s Alliance of CEO Climate Leaders, a coalition of business leaders dedicated to accelerating the transition to a net-zero economy.",IT,Infosys,Vague
"Tata Steel Limited obtained the Plastic Waste EPR Registration Certificate under the ‘Brand Owner’ and ‘Importer’ categories as per the Plastic Waste Management Rules, 2016; Battery Waste EPR Registration Certificate under the ‘Producer’ category for Jamshedpur location as per the Battery Waste Management Rules, 2022, and Hazardous Waste Authorisation for various sites as per the Hazardous and Other Wastes (Management and Transboundary Movement) Rules, 2016.",Manufacturing,TataSteel,Concrete
"The learnings from all accidents 0.022 2022-23 2023-24 are disseminated across the organisation, and 0.019 0.018 formal compliance is obtained.",FMCG,ITC,Concrete
"The tomorrow. decarbonisation of the business will be 25 117th Year Integrated Report & Annual Accounts 2023-24 Our Leadership Management Speak Empowering growth and progress NINL Plant Q What were the challenges individual geographies, both in terms of account of the proposed restructuring and highlights for the global new technology solutions and ways to of operations and closure of our existing steel industry during the last optimise costs of green steel.",Manufacturing,TataSteel,Concrete
"Agriculturists to 2.0 Mission Sunehra Kal for Sustainable and Inclusive Growth 174 & Growth Social - Horizon I: Strengthen Current Dominant Source(s) of Livelihoods CSA - zero-tillage plot Conventional practice plot Internalising CSA practices amongst farmers Case-study of ITC’s Direct Seeding of Rice programme in Uttar Pradesh ITC, as part of its Climate-Smart Agriculture (below 5 acres of land holding).",FMCG,ITC,Concrete
Emissions from employee commuting calculate GHG emissions from stationary Greenhouse Gas Inventories of 2006 for the combustion sources. corresponding fuel.,FMCG,ITC,Concrete
"ITC as well as providing high-quality raw and emit 20% less GHG, we have built 40 The success achieved in making the Ghod material for ITC’s notebooks.",FMCG,ITC,Concrete
Infosys Pune campus Sustainable materials: Manufactured sand and recycled steel reduce reliance on virgin resources while maintaining ISO 50001:2018 certification structural integrity.,IT,Infosys,Concrete
"Environmental, Social and Governance Report 2024-25 57 DATA PRIVACY Ensures the security of customer and website user information across services POLICY and products, mandating informed consent for data usage and adhering to strict confidentiality standards.",Banking,HDFC,Concrete
This arrangement will countries and companies striving to becomes available. replace part of the existing coal-based achieve Net Zero emissions in heavy Tata Steel has completed pilot power generation in the Company's industry.,Manufacturing,TataSteel,Vague
"Further, we actively promote DEI within our organisation and our gender ratio stands at 27%.",Banking,HDFC,Concrete
"The Company Investment-Grade financial metrics. is committed to reducing debt There is also a significant emphasis and financing profitable growth. on ESG (Environmental, Social and This approach is complemented Governance) commitments and by Tata Steel's dedication to making transparent disclosures in improved disclosures, transparency, these areas.",Manufacturing,TataSteel,Vague
"It applies to all employees and associates, REDRESSAL OF SEXUAL conforming to the Sexual Harassment of Women at Workplace Act, 2013, and HARASSMENT (POSH) provides mechanisms for prevention and resolution.",Banking,HDFC,Concrete
"Some of the links Download printable PDF of disclosures consist of the ESG Report 2024-2025 and the ESG Data Book 2024-25 embedded in the content will take you to the Infosys Integrated Annual Report, ESG Print optimized Data Book, the Corporate Responsibility microsite, and the Foundation websites.",IT,Infosys,Concrete
"During the reporting period, 100% employees returned to work after their leave ended, and 72.7% employees remained employed 12 months after returning.",Banking,HDFC,Concrete
The Company has specifically focused on green steel offerings in Netherlands and UK.,Manufacturing,TataSteel,Vague
"These models, based on principles of circular economy, are scalable, Under the above two initiatives, a total of − Under the initiative, 16 parks (4 each in replicable, and sustainable, and have 3.2 million students were engaged across Kolkata, Bengaluru, Mumbai, and Delhi) enabled the Company to sustain its 5,982 schools, and 42,000 kg of Plastic were successfully renovated with new plastic-neutral status since FY 2021-22.",FMCG,ITC,Concrete
"He was but with low productivity and facing frequent cultivating Soya in 4 acres and Wheat only in crop losses due to climate events such as 2 acres, as his borewell yield was very low.",FMCG,ITC,Concrete
"Consequently, the Netherlands with a Direct Reduced 90 the market is seeing increased demand Iron EAF by 2030. % for green alternatives.",Manufacturing,TataSteel,Concrete
It strives to ensure that the Company’s workforce is representative of all sections of society and proactively works towards guaranteeing fair representation of differently abled within its workforce.,Manufacturing,TataSteel,Vague
"This extensive database allows the change by the global environmental Launching Economist Impact’s Sustainability Atlas to provide clear and succinct responses to #ThriveAtInfosys is proof of our commitment to nonprofit CDP, securing a place on the CDP Atlas powered by Infosys Topaz - The sustainability-related questions, offering an efficient foster a culture at work where we cheer for one annual A List in 2024.",IT,Infosys,Concrete
"This synergy leverages India’s targeted crude steel capacity July 21, 2023 Europe's policy advancements and by FY2030-314 4 Ministry of Steel, Government of India 117th Year Integrated Report & Annual Accounts 2023-24 48 Zeremis® Carbon Lite, a declaration-based, low carbon emission steel solution with the potential for up to 100% reduction in CO intensity 2 Customer centricity 2 and digitisation Customer expectations and steel Steel is expanding its digital footprint assets remotely.",Manufacturing,TataSteel,Concrete
"The Board has approved a Charter for the functioning of the CSR&S Committee on March 31, 2015, which was last revised on November 11, 2021.",Manufacturing,TataSteel,Concrete
"Tata Steel is committed to collaborating with international bodies like the Task Force on Climate-Related Financial Disclosures (‘TCFD’) to improve ESG disclosures, adhere to evolving standards, and establish a sustainable financing framework.",Manufacturing,TataSteel,Vague
"FY 2023-24 FY 2022-23 Details of improvements in environmental and social impacts (` crore) (` crore) Total R&D 2,751 2,500 TCS’ investments in research and innovation have resulted in Expenditure (1.1% of Turnover) (1.1% of Turnover) solutions like Envirozone™, Clever Energy and IP2™.",IT,TCS,Concrete
"Anand Swaminathan and in partnership with accessible to remote regions of the country through Infosys CMT colleagues and stakeholders, and non- collaborations like Nirmaan Organization, Agastya, Read the Infosys Foundation 2024 report profit partners.",IT,Infosys,Concrete
Infosys ESG Report 2025-26 | 117 enhancing comfort and usability.,IT,Infosys,Concrete
Tata Steel is also exploring other volume sources of water to replace freshwater and remains dedicated to replenishing the water sources to strive to achieve Water Neutrality.,Manufacturing,TataSteel,Vague
"For all key entities of the Tata Steel Group, 100% of suppliers are made aware of Tata Steel’s RSCP through various training programmes.",Manufacturing,TataSteel,Concrete
"To minimise waste generated during steelmaking, Tata Steel has established a profit centre for waste management, named the Industrial By-Product Management Division (IBMD), dedicated to efficient by-product management through advanced steel waste processing practices.",Manufacturing,TataSteel,Vague
"As one of its strategic objectives, Tata Steel aspires to achieve industry leadership in sustainability.",Manufacturing,TataSteel,Vague
"We do not express an assurance opinion on information in respect of any other information included in the Integrated Annual Report 2024 or linked from the Sustainability Information or from the Integrated Annual Report 2023, including any images, audio files or embedded videos.",IT,TCS,Concrete
"CSR & ESG Committee  Policy Oversight and Strategic Alignment: Capitals impacted Recommended CSR and ESG policies and annual plans in line with Schedule VII of the Companies Act, 2013 and evolving stakeholder expectations.  Implementation Monitoring and Disclosure Review: Stakeholders impacted Oversaw the execution of CSR and ESG initiatives and reviewed related goals, performance, and external disclosure.",Banking,HDFC,Concrete
"Tata Steel GGBS is now available under the name ‘Tata Dureco.’ iii) E -Waste Management: The Company has established a process to ensure effective e-waste management in compliance with the E-Waste Management (EWM) Rules, 2016.",Manufacturing,TataSteel,Concrete
"In March 2024, Tata Steel welcomed for its unwavering commitment to inclusive environment.",Manufacturing,TataSteel,Concrete
"NEWTON Tel: 91 80 2852 0261 Vice President - Head - ESG | Diversity, Equity & Inclusion Fax: 91 80 2852 0362 Tel: +91 80 2852 0261 www.infosys.com Email: arunacnewton@infosys.com Date of publication: May 29, 2026 For more information, contact askus@infosys.com © 2026 Infosys Limited, Bengaluru, India.",IT,Infosys,Concrete
"ITC, as a part of its Social Investments Programme, engaged with the Environmental Engineering unit of IIT Chennai in the year FY 2021-22, to conduct a comprehensive Before After hydrological study of the catchment.",FMCG,ITC,Concrete
"Number of Directors/KMPs/employees/workers against whom disciplinary action was taken by any law enforcement agency for the charges of bribery / corruption41: FY 2023-24 FY 2022-23 Directors NIL NIL KMP NIL NIL Employees* NIL NIL *Restated to exclude cases which are not directly connected to the conduct of Company’s business or if connected, are not charged or convicted yet.",IT,TCS,Concrete
"Water withdrawal, consumption and discharge in areas of water stress (in kiloliters)82: For each facility / plant located in areas of water stress, provide the following information: (i) Name of the area: In FY 2023-24, there are 13 stress zones identified as per the above criteria.",IT,TCS,Concrete
"With this, almost 90% of the CO emissions 2 would be addressed.",Manufacturing,TataSteel,Concrete
"As a demonstration of our commitment towards environmental stewardship and driving positive Eco-friendly façades: outcomes, we implemented an Energy Management System and achieved ISO 50001:2018 We use ORAE Glass (70% recycled certification for our Bengaluru and Mysuru campuses during the year.",IT,Infosys,Concrete
Various initiatives and programs have been conducted across our DCs to foster and instill our culture among all our employees and to strengthen the core values of the Company.,IT,Infosys,Vague
"Waste directed to disposal refers to the total amount of waste materials that are ~17,12,000 kg ultimately sent to final disposal sites.",IT,Infosys,Concrete
62 | External Document © 2025 Infosys Limited INSIGHT TO IMPACT ENVIRONMENT SOCIAL GOVERNANCE Performance on Governance Goals Corporate Governance Data Privacy Information Management Building sustainable and responsible supply chains 273 suppliers engaged Our upstream value chain consists of more than commitment to ethical business practices and practices as part of the onboarding process.,IT,Infosys,Concrete
"117th Year Integrated Report & Annual Accounts 2023-24 56 Tata Steel has and will always relentlessly focus on strengthening the ethical culture across all its locations by reinforcing the policies and guidelines, setting high standards of transparency through strong corporate governance practices, and leveraging technology.",Manufacturing,TataSteel,Concrete
"External Document © 2026 Infosys Limited Our continued sponsorship reflects Bulgaria Infosys’ commitment to advancing educational access, child safety, and Svetluki: Promoting longterm community resilience.",IT,Infosys,Concrete
"The Netherlands IJmuiden plant, the Netherlands - one of the most CO efficient steel plants in the world 2 Tata Steel's steel manufacturing Green: From 2030 onwards, Tata and financial support from the plant at IJmuiden, in the Netherlands, Steel Nederland intends to reduce its government.",Manufacturing,TataSteel,Concrete
"While switching to renewable energy would only address 55% of global emissions, the remaining 45% of emissions will be addressed by adopting the principles of circular economy, i.e., eliminating waste and pollution, circulating products and materials, and regenerating nature.",FMCG,ITC,Concrete
"We are also committed to leading the Biodiversity is a vital indicator of ecological reinforced India’s role in global conservation advocacy of ESG initiatives. health, and its preservation demands collective and supported the ‘30 by 30’ goal, urging action to create refuges in urban settings.",IT,Infosys,Vague
Suppliers are informed of grievance redressal mechanisms Infosys ESG Report 2025-26 | 146 External Document © 2026 Infosys Limited Engaging with stakeholders and earning trust through transparent communication Infosys has proudly maintained a and fostering decarbonization and strategic partnership with the World collaborative partnerships throughout Economic Forum (WEF) for a remarkable global value chains.,IT,Infosys,Concrete
TSN has a public commitment to reduce its CO 2 emissions by 5 Megatons by 2030.,Manufacturing,TataSteel,Concrete
"Out of 2000, supply chain partners from local states, 85 vendor partners belong to the AA and Displaced Person categories.",Manufacturing,TataSteel,Concrete
"An ESG Council, comprising Committee to achieve the ambitions challenges to the Risk Management Overall responsibility of ESG in the senior company leaders, is responsible outlined in the ESG Vision 2030.",IT,Infosys,Concrete
"To ensure motherhood does not hinder Environmental, Social and Governance Report 2024-25 97 career growth, maternity transition support includes guaranteed performance ratings during leave.",Banking,HDFC,Concrete
"Infosys stronger data foundations. framework integrates grid modernization, implemented a unified, AI-powered renewables and storage, and carbon Vehicle Inspection System integrating management, enabling utilities to evolve legacy modules and IoT-enabled devices Infosys ESG Report 2025-26 | 64 External Document © 2026 Infosys Limited into more data-driven, low-carbon energy Sustainability revenues ecosystems.",IT,Infosys,Concrete
Lowest ever fuel rate to 524 kg/thm (reduction of 1% over FY2022-23) • Enhanced wastewater recovery and improved 9.,Manufacturing,TataSteel,Concrete
"Tata Steel aims to cover 100% of sites in India, in the UK, in the Netherlands under the Biodiversity Management Plan by 2025.",Manufacturing,TataSteel,Concrete
"The Industry standards on reporting of BRSR core, issued by SEBI dated December 20,2024, have been referred to, as applicable for FY2024-25 BRSR Core KPIs.",Manufacturing,TataSteel,Concrete
"Across multiple campuses, employees Infosys ESG Report 2025-26 | 53 Strengthening laptops, lighting, fans, air conditioners, and seasonal heating or cooling systems, transparency in Work From among others.",IT,Infosys,Concrete
"This initiative reflects Infosys’ broader The event offered a meaningful ESG focus on community well-being, opportunity for Infosys employees employee engagement, and contributing to give back to the community while to causes that strengthen resilience and strengthening connections with equity in the communities where we live colleagues outside the workplace. and work.",IT,Infosys,Vague
